0.200000, 2.653041, 1.168220
0.250000, 1.663884, 1.104275
0.300000, 1.018658, 1.040269
0.350000, 0.566583, 1.000096
0.400000, 0.226981, 0.995797
0.450000, -0.028465, 0.989776
0.500000, -0.230153, 0.897136
0.550000, -0.387966, 0.853182
0.600000, -0.518698, 0.990972
0.650000, -0.624522, 0.793504
0.700000, -0.708078, 0.759819
0.750000, -0.782728, 0.738503
0.800000, -0.841243, 0.701044
0.850000, -0.891418, 0.712109
0.900000, -0.931696, 0.657851
0.950000, -0.967516, 0.635829
1.000000, -0.996936, 0.607501
1.050000, -1.019771, 0.578552
1.100000, -1.040968, 0.566366
1.150000, -1.055947, 0.535082
1.200000, -1.071037, 0.516551
1.250000, -1.084773, 0.517270
1.300000, -1.091742, 0.482199
1.350000, -1.099296, 0.468072
1.400000, -1.107992, 0.483788
1.450000, -1.110676, 0.447107
1.500000, -1.112084, 0.421238
1.550000, -1.114180, 0.414469
1.600000, -1.113988, 0.408772
1.650000, -1.115392, 0.389547
